,tweet_id,text,favorite_count,retweet_count,created_at,source,reply_to_status,reply_to_user,retweets,favorites
0,1597742140909445121,"RT @ezash: Kalo suatu hari kamu dapet offering letter, selain nominal gaji, berikut yg harus kamu perhatikan:

Ada meals/transport benefit?…",0,2716,2022-11-29 23:59:45+00:00,Twitter for iPhone,,,2716,0
1,1597742139676315648,"BPJS atau konglomerat
Serba-serbi MMC
Islam kaffah atau #IslamKaffah https://t.co/7ydzF2qjKa",0,0,2022-11-29 23:59:45+00:00,Twitter for Android,,,0,0
2,1597742109649694720,RT @dhee_dood: @rickdler Masih judesan pegawe puskesmas nanganin pasien BPJS,0,651,2022-11-29 23:59:38+00:00,Twitter for iPhone,,,651,0
3,1597742017270132737,"BPJS atau konglomerat
Serba-serbi MMC
Islam kaffah atau #IslamKaffah https://t.co/37BsEmLRB4",2,2,2022-11-29 23:59:16+00:00,Twitter for Android,,,2,2
4,1597741851280539648,"RT @ezash: Kalo suatu hari kamu dapet offering letter, selain nominal gaji, berikut yg harus kamu perhatikan:

Ada meals/transport benefit?…",0,2716,2022-11-29 23:58:36+00:00,Twitter for Android,,,2716,0
5,1597741792727744513,@aulmuhm Wkwkwk ga segan mereka. Ngapain butuh karens dinner kalo kita udah punya nakes rsud yang ngurusin bpjs 🥲,0,0,2022-11-29 23:58:22+00:00,Twitter for Android,1.5976187939328205e+18,aulmuhm,0,0
6,1597741763770605569,RT @zemuanyaindah: @txtfrombrand lebih galak muka org puskesmas ke pasien bpjs ga si 😭,0,213,2022-11-29 23:58:15+00:00,Twitter for Android,,,213,0
7,1597741755469770752,"Jangankan BPJS ....pakai asuransi VVIP juga kadang dibedakan.
Padahal di RS Swasta internasional di Jaksel logh.... https://t.co/jG2rllV7KB",1,0,2022-11-29 23:58:13+00:00,Twitter for Android,,,0,1
8,1597741744791359488,"RT @ezash: Kalo suatu hari kamu dapet offering letter, selain nominal gaji, berikut yg harus kamu perhatikan:

Ada meals/transport benefit?…",0,2716,2022-11-29 23:58:11+00:00,Twitter for Android,,,2716,0
9,1597741631150895104,Sikap pemerintah membedakan BPJS orang kaya mencerminkan negara lepas tanggungjawab atas jaminan kesehatan rakyat.… https://t.co/bXhvk2YiAT,0,0,2022-11-29 23:57:44+00:00,Twitter for Android,,,0,0
10,1597741547986227200,"RT @ezash: Kalo suatu hari kamu dapet offering letter, selain nominal gaji, berikut yg harus kamu perhatikan:

Ada meals/transport benefit?…",0,2716,2022-11-29 23:57:24+00:00,Twitter for Android,,,2716,0
11,1597741455829004288,"RT @ezash: Kalo suatu hari kamu dapet offering letter, selain nominal gaji, berikut yg harus kamu perhatikan:

Ada meals/transport benefit?…",0,2716,2022-11-29 23:57:02+00:00,Twitter for Android,,,2716,0
12,1597741386207727616,Menkes mencurigai sejumlah orang kaya membebani BPJS Kesehatan dengan biaya tinggi pengobatan mereka. Bukankah seti… https://t.co/AC49rPB5zf,0,0,2022-11-29 23:56:45+00:00,Twitter for Android,,,0,0
13,1597741216954978304,"RT @dalbo__27: Wali Kota Surabaya Eri Cahyadi Marah saat Sidak RS Soewandhie. 
Ada Pasien Antre Sampai Lima Jam

Ini pembelajaran unt semua…",0,13,2022-11-29 23:56:05+00:00,Twitter for Android,,,13,0
14,1597741143701487617,RT @sundastruggle: @rickdler masih judesan petugas yang ngadepin pasien bpjs,0,415,2022-11-29 23:55:47+00:00,Twitter for Android,,,415,0
15,1597741075229470720,"💙 halo, ada yg pernah perawatan saluran akar atau op gigi bungsu pake bpjs di dom tangerang? ada rekomendasi ga ya di rs mana? tia",0,0,2022-11-29 23:55:31+00:00,"Hey, ayo minum air putih dulu😤",,,0,0
16,1597741057055555584,"BPJS pilih-pilih penerima, ini merupakan salah satu bentuk nyata
Kedzaliman negara pada rakyatnya sendiri. Simak se… https://t.co/3Qq8yUtkh7",0,0,2022-11-29 23:55:27+00:00,Twitter for Android,,,0,0
17,1597741038999044099,"RT @ezash: Kalo suatu hari kamu dapet offering letter, selain nominal gaji, berikut yg harus kamu perhatikan:

Ada meals/transport benefit?…",0,2716,2022-11-29 23:55:22+00:00,Twitter for Android,,,2716,0
18,1597740934820548609,"@Valosenadya1 wadduh ,,,perlu trending kalo gini mah,,,emang rata2 rumah sakit begitu,,mereka menganaktirikan pasien BPJS",5,0,2022-11-29 23:54:58+00:00,Twitter Web App,1.5976607551676744e+18,Valosenadya1,0,5
19,1597740932740558849,"RT @ezash: Kalo suatu hari kamu dapet offering letter, selain nominal gaji, berikut yg harus kamu perhatikan:

Ada meals/transport benefit?…",0,2716,2022-11-29 23:54:57+00:00,Twitter for Android,,,2716,0
20,1597740904000823296,"Konglomerat Dicurigai Jadi Beban BPJS, Kedzaliman pada Rakyat? | Serba-serbi MMC

https://t.co/C0UmGRyEDK
#islamkaffah",0,0,2022-11-29 23:54:50+00:00,Twitter for Android,,,0,0
